BOLD_ID,Phylum,Class,Order,Family,Genus,Species
BOLD:ADE5749,Arthropoda,Insecta,Hymenoptera,Formicidae,Crematogaster,Crematogaster sp. H SPQ-2003
BOLD:ADE5892,Arthropoda,Insecta,Hymenoptera,Formicidae,Rhytidoponera,Rhytidoponera kaksp2_auratagp
BOLD:ADE5942,Arthropoda,Insecta,Hymenoptera,Formicidae,Iridomyrmex,Iridomyrmex anceps group
BOLD:ADE5943,Arthropoda,Insecta,Hymenoptera,Formicidae,Iridomyrmex,Iridomyrmex anceps group
BOLD:ADE6416,Arthropoda,Insecta,Hymenoptera,Formicidae,Rhytidoponera,Rhytidoponera trachypyx_borealisgp
BOLD:ADE6417,Arthropoda,Insecta,Hymenoptera,Formicidae,Rhytidoponera,Rhytidoponera trachypyx_borealisgp
BOLD:ADE6418,Arthropoda,Insecta,Hymenoptera,Formicidae,Rhytidoponera,Rhytidoponera trachypyx_borealisgp
BOLD:ADE6628,Arthropoda,Insecta,Lepidoptera,Erebidae,Baritius,Baritius eleutheroides
BOLD:ADE6629,Arthropoda,Insecta,Lepidoptera,Erebidae,Baritius,Baritius eleutheroides
BOLD:ADE6630,Arthropoda,Insecta,Lepidoptera,Erebidae,Baritius,Baritius eleutheroides
BOLD:ADE7302,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes,Limnophyes minimus
BOLD:ADE7311,Arthropoda,Insecta,Lepidoptera,Saturniidae,Janiodes,Janiodes russea
BOLD:ADE7804,Arthropoda,Insecta,Hymenoptera,Formicidae,Iridomyrmex,Iridomyrmex anceps group
BOLD:ADE7830,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,Paratanytarsus natvigi
BOLD:ADE7920,Arthropoda,Insecta,Lepidoptera,Saturniidae,Therinia,Therinia transversaria
BOLD:ADE9588,Arthropoda,Insecta,Lepidoptera,Geometridae,Eois,Eois olivacea group
BOLD:ADE9589,Arthropoda,Insecta,Lepidoptera,Geometridae,Eois,Eois olivacea group
BOLD:ADE9870,Arthropoda,Insecta,Coleoptera,Curculionidae,Typoderus,Typoderus furcatus
BOLD:ADF0085,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,Polypedilum cultellatum
